Q No	NULL	Question Text	Question Type	Option 1	Option 2	Option 3	Option 4	Errors if any	Answer Key	Solution		  
1	NULL	A position dependent force, $F=\left(7-2 x+3 x^{2}\right) \mathrm{N}$ acts on a small body of mass $2 \mathrm{~kg}$ and displaces it from $x=0$ to $x=5 \mathrm{~m}$. The work done (in joule) is	Single Correct	$70$	$270$	$35$	$135$	NULL	d	"$\int d W=\int F d x$
$W=\int_{0}^{5}\left(7-2 x+3 x^{2}\right) d x$
$W=135$ joule"		
2	NULL	"A particle moves along $x$ axis given by $x=A \sin \left(\frac{\pi}{6} t\right)$.
The ratio of distance travelled by it in $1^{\text {st }}$ second and $2^{\text {nd }}$ second is"	Single Correct	$\frac{\sqrt{2}}{\sqrt{2}-1}$	$\frac{\sqrt{3}}{\sqrt{3}-1}$	$\frac{1}{\sqrt{2}-1}$	$\frac{1}{\sqrt{3}-1}$	NULL	d	"$X=A \sin (\omega t)$
$X_{1}=\frac{A}{2}$
$X_{2}=A \frac{\sqrt{3}}{2}$
Ratio $=\left(\frac{X_{1}}{X_{2}-X_{1}}\right)=\frac{1}{\sqrt{3}-1}$"		
3	NULL	"On a table, three blocks are placed as shown in the figure. Mass of each block is $m$ and coefficient of friction for each block is $\mu$. A force $F$ is applied on the first block so as to move the system. The minimum required $F$ should be
<img src=""images/8wonZtFFvdMWTyt6NsrOmooD24dArzLvimludYTpm2A.original.fullsize.png"">"	Single Correct	$8 \mu \mathrm{~mg}$	$9 \mu \mathrm{~mg}$	$7 \mu \mathrm{~mg}$	$5 \mu \mathrm{~mg}$	NULL	c	"<img src=""images/PEv5nk3H7UwE8N0cs34_e4UF8B928q0F2kjxhMjiNNo.original.fullsize.png""><br>
$T_{1}=\mu \mathrm{~mg}$
$T_{2}=3 \mu \mathrm{~mg}$
$f-\mu \mathrm{~mg}=2(3 \mu \mathrm{~mg})$
$f=7 \mu \mathrm{~mg}$"		
4	NULL	"A body $A$ is dropped from a height $h$ above the ground. At the same time another body $B$ at a horizontal distance $d$ from the line of motion of $A$, from the ground is fired at an angle $\alpha$ to the horizontal. If the two collide at the highest point of the trajectory of $B$, the angle of projection is given by
<img src=""images/w_DGGFjI0gZlka9N8bKbSLle5ViO37Krku00TPDj-Iw.original.fullsize.png"">"	Single Correct	$\alpha=\tan ^{-1}\left(\frac{d}{h}\right)$	$\alpha=\sin ^{-1}\left(\frac{h}{d}\right)$	$\alpha=\tan ^{-1}\left(\frac{h}{d}\right)$	$\alpha=\cos ^{-1}\left(\frac{h}{d}\right)$	NULL	c	"$\tan \alpha=\frac{h}{d}$
$\alpha=\tan ^{-1}\left(\frac{h}{d}\right)$
$\alpha=\tan ^{-1}\left(\frac{h}{d}\right)$"		
5	NULL	"A container is accelerating with acceleration $a=g$ along the direction as shown below. Find the angle $\theta$ made by the liquid surface with the vertical wall of the container.
<img src=""images/VNunxbfVRJSWGjFcAWXLoDkbzUS_hUtgus-cFRvdBWk.original.fullsize.png""><br>
<img src=""images/cbsUgjHVTsmWP6MIj9FFJLOgqWqb9Hp_eoIniTDZ7AU.original.fullsize.png"">"	Single Correct	$30^{\circ}$	$45^{\circ}$	$60^{\circ}$	$90^{\circ}$	NULL	c	"$\tan \left(90^{\circ}-\theta\right)=\frac{a_{H}}{g+a_{V}}$
$\tan \left(90^{\circ}-\theta\right)=\cot \theta=\frac{g \cos 30^{\circ}}{g+g \sin 30^{\circ}}$
$=\frac{\sqrt{3} / 2}{1+\frac{1}{2}}=\frac{1}{\sqrt{3}}$
$\cot \theta=\frac{1}{\sqrt{3}}$
$\theta=60^{\circ}$"		
6	NULL	"A soap film is formed on a triangular wire frame having two fixed and one movable side. The free side is moved with a constant acceleration ' $a$ '. Take side length to be zero at $t=0$ as shown. If the surface tension is constant and $U$ is the surface potential energy of the soap film then
<img src=""images/tDFG7nQ2H2mKFY5G_6jHhjnTSLj52Aziyx12TEEWH6U.original.fullsize.png"">"	Single Correct	$\frac{d U}{d t} \propto t$	$\frac{d U}{d t} \propto t^{2}$	$\frac{d U}{d t} \propto t^{3}$	$\frac{d U}{d t} \propto t^{0}$	NULL	c	"$Y=\frac{1}{2} a t^{2}$
$F=2 T Y$
$P=F . V$
$P=2 T \times \frac{1}{2} a t^{2} . a t$
$P \propto t^{3}$"		
7	NULL	"A plank of mass $m$ placed over a solid cylinder of mass $m$ and radius $R$, is pulled by a constant horizontal force $F$ as shown in figure. There is no slipping anywhere. The acceleration of plank is
<img src=""images/cdnQw_uc8PhcUAbco88D18NvXCAT4ZzVRi4qH9fxv3M.original.fullsize.png"">"	Single Correct	$\frac{3 F}{8 m}$	$\frac{2 F}{5 m}$	$\frac{11 F}{5 m}$	$\frac{8 F}{11 m}$	NULL	d	$F \times 2 R=\left(\frac{3}{2} m R^{2}+m \times 4 R^{2}\right)\left(\frac{a}{2 R}\right) \Rightarrow a=\frac{8 F}{11 m}$		
8	NULL	"A wire of conical shape of length $L$ and end radii $r_{1}$ and $r_{2}$ is stretched by two forces $F$ applied parallel to the length in opposite directions normal to the end faces as shown. If $Y$ denotes the Young's modulus of elasticity, then extension produced is
<img src=""images/1hZpLCAG_UXPeMaYwtcPgOX19pXb4xTQulEFLxbbYBI.original.fullsize.png"">"	Single Correct	$\frac{F L}{\pi r_{1} r_{2} Y}$	$\frac{F L}{2 \pi r_{1} r_{2} Y}$	$\frac{F L}{\pi r_{1}^{2} Y}$	$\frac{2 F L}{\pi r_{1} r_{2} Y}$	NULL	a	$\Delta L=\frac{F L}{Y A}=\frac{F L}{Y \sqrt{A_{1} A_{2}}}=\frac{F L}{Y \sqrt{\pi r_{1}^{2} \pi r_{2}^{2}}}=\frac{F L}{Y \pi r_{1} r_{2}}$		
9	NULL	The speed of planet at apogee in terms of eccentricity(e) is (a is semimajor axis of ellipse)	Single Correct	$\sqrt{\frac{G M}{a}\left(\frac{1-e}{1+e}\right)}$	$\sqrt{\frac{G M}{a}\left(\frac{1+e}{1-e}\right)}$	$\sqrt{\frac{2 G M}{a}\left(\frac{1-e}{1+e}\right)}$	$\sqrt{\frac{G M}{2 a}\left(\frac{1+e}{1-e}\right)}$	NULL	a	"$m v_{1} r_{1}=m v_{2} r_{2}$
$\frac{1}{2} m v_{1}^{2}-\frac{G M m}{r_{1}}=\frac{1}{2} m v_{2}^{2}-\frac{G M m}{r_{2}}$
$r_{1}=a(1-e)$
$r_{2}=a(1+e)$"		
10	NULL	An object of mass $3 \mathrm{~kg}$ is projected from a point on a horizontal plane with speed $20 \mathrm{~m} / \mathrm{s}$ at angle $60^{\circ}$ with horizontal. The object explodes at the highest point and breaks into two parts of masses $1 \mathrm{~kg}$ and $2 \mathrm{~kg}$. The fragment of mass $1 \mathrm{~kg}$ moves horizontally at speed $15 \mathrm{~m} / \mathrm{s}$ in backward direction just after explosion. The distance of centre of mass from the point of projection when the two parts hit the plane is $\left(g=10 \mathrm{~m} / \mathrm{s}^{2}\right)$	Single Correct	$20 \mathrm{~m}$	$20 \sqrt{2} \mathrm{~m}$	$20 \sqrt{3} \mathrm{~m}$	$40 \mathrm{~m}$	NULL	c	"Motion of COM does not altered by explosion.
$x=R=\frac{(20)^{2} \times \sin \left(120^{\circ}\right)}{10}=20 \sqrt{3} \mathrm{~m}$"		
11	NULL	"An open organ pipe of length $l$ is sounded together with another organ pipe of length $l+x$ in their respective fundamental tones (given $x<<l$ ). The beat frequency heard will be ?
(speed of sound is $v$)"	Single Correct	$\frac{v x}{4 l^{2}}$	$\frac{v x}{2 l^{2}}$	$\frac{v l^{2}}{2 x}$	$\frac{v x^{2}}{2 l}$	NULL	b	"$l=\frac{\lambda_{1}}{2} \therefore \lambda_{1} \Rightarrow 2 l$
$\therefore f_{1}=\frac{v}{2 I}$
Similarly $f_{2}=\frac{v}{2 l\left(1+\frac{x}{l}\right)}=\frac{v}{2 l}\left(1-\frac{x}{l}\right)$
$\therefore \Delta f=f_{1}-f_{2}=\frac{v}{2 l}\left(1-1+\frac{x}{l}\right)=\frac{v x}{2 l^{2}}$"		
