Q No,Question Text,Option 1,Option 2,Option 3,Option 4,Error if any,Answer Key,Solution
1,$\text { I : }(p \Rightarrow q) \vee(q \Rightarrow p) \text { and II : }(\sim p) \Rightarrow(p \Rightarrow q)$@@@, $\mathrm{I}$  is tautology and $\mathrm{II}$  is fallacy, $\mathrm{I}$  is fallacy and $\mathrm{II}$  is tautology, $\mathrm{I}$  and $\mathrm{II}$  both are tautologies, $\mathrm{I}$  and $\mathrm{II}$  both are fallacies,NULL,c,\begin{tabular}{c|c|c|c|c|c|c}\hline$p$ & $\sim p$ & $q$ & $p \Rightarrow q$ & $q \Rightarrow p$ & $(p \Rightarrow q) \vee(q \Rightarrow p)$ & $(\sim p) \Rightarrow(p \Rightarrow q)$ \\\hline $\mathrm{T}$ & $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ \\$\mathrm{T}$ & $\mathrm{F}$ & $\mathrm{F}$ & $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ \\$\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ \\$\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ \\\hline\end{tabular}
2,"Statement $\mathrm{I}$: $x^{2}+y^{2}=12$ and $y^{2}=4 x$ meet at $P$ and $Q$. Tangents drawn to $y^{2}=4 x$ at $P$ and $Q$ meet at $(-2,0)$Statement $\mathrm{II}$: Equation of chord of contact for a point $\left(x_{1}, y_{1}\right)$ with respect to $y^{2}=4 a x$ is given by $y y_{1}=2 a\left(x+x_{1}\right)$@@@"," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is a correct explanation for Statement$\mathrm{-I}$."," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is NOT a correct explanation for Statement$\mathrm{-I}$."," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is False."," Statement$\mathrm{-I}$ is False, Statement$\mathrm{-II}$ is True.",NULL,a,"Statement-$\mathrm{II}$ is true.Also, solving $x^{2}+y^{2}=12$ and $y^{2}=4 x$ we get $P \equiv(2,2 \sqrt{2})$ and $Q \equiv(2,-2 \sqrt{2})$$\Rightarrow$ Equation of $\mathrm{PQ}$ is $x-2=0 \ldots \ldots(i)$Let $\left(x_{1}, y_{1}\right)$ be the point of intersection of tangents then $\mathrm{PQ}$ has an equation $y y_{1}=2\left(x+x_{1}\right) \ldots \ldots(ii)$Comparing $(i)$ and $(ii)$ we get $\left(x_{1}, y_{1}\right) \equiv(-2,0)$$\Rightarrow$ Statement $\mathrm{I}$ is true and Statement-$\mathrm{II}$ explains Statement-$\mathrm{I}$ correctly."
3,"Two fixed points are $A(a, 0)$ and $B(-a, 0)$. If $\angle A-\angle B=\theta$, then the locus of point $C$ of triangle $A B C$ will be@@@", $x^{2}+y^{2}+2 x y \tan \theta=a^{2}$, $x^{2}-y^{2}+2 x y \tan \theta=a^{2}$, $x^{2}+y^{2}+2 x y \cot \theta=a^{2}$, $x^{2}-y^{2}+2 x y \cot \theta=a^{2}$,NULL,d,"Given $\angle A-\angle B=\theta \Rightarrow \tan (A-B)=\tan \theta$$\Rightarrow \frac{\tan A-\tan B}{1+\tan A-\tan B}=\tan \theta$In right angled triangle $C D A \tan A=\frac{k}{a-h}$![original image](https://cdn.mathpix.com/snip/images/2hdzFFmE-El-04FZ3KbEl0bpbDejHocIOZizKJUeEwA.original.fullsize.png)Similarly in triangle $C D B$$\tan B=\frac{k}{a+h}$Substitute the values of $\tan A$ and $\tan B$ in (i), we get$h^{2}-k^{2}+2 h k \cot \theta=a^{2}$Hence the locus is $x^{2}-y^{2}+2 x y \cot \theta=a^{2}$"
4,"The sum of $80$ terms of the series $11,102,1003, \ldots \ldots$ is:@@@", $\frac{1}{81}\left[10^{80}+20\right]$, $\frac{1}{9}\left[2^{80}+29150\right]$, $\frac{1}{9}\left[10^{81}+999\right]$, $\frac{1}{9}\left[10^{81}+29150\right]$,NULL,d,$11+102+1003+\ldots \ldots 80$ terms$\Rightarrow (10+100+1000+\ldots \ldots 80$ terms $)+(1+2+3+\ldots \ldots .80$ terms $)$$\Rightarrow \frac{10\left(10^{80}-1\right)}{9}+\frac{(80)(81)}{2} \quad \Rightarrow \frac{10^{81}-10}{9}+(40)(81) \Rightarrow \frac{1}{9}\left[10^{81}+29150\right]$
5,The area above the $x$-axis enclosed by the curves $x^{2}-y^{2}=0$ and $x^{2}+y-2=0$ is@@@, $\frac{5}{3}$, $\frac{7}{3}$, $\frac{8}{3}$, $\frac{10}{3}$,NULL,b,"![original image](https://cdn.mathpix.com/snip/images/RAJs7mLIOE0dB9jVKz5jfrKRu_GQhYWjI1PT6F0AJH0.original.fullsize.png)We first draw the given curvesThe first curve $x^{2}-y^{2}=0 \Rightarrow y=\pm x$represents a pair of straight lines with slopes $1$ and $-1$ passing through origin. The second curve$\Rightarrow x^{2}+y-2=0 \Rightarrow x^{2}=-y+2$$\Rightarrow x^{2}=-(y-2)$represents a parabola with vertex $(0,2)$ axis as $y-$axis and concavity downwards. Both the curves are plotted in the figure and the required area is shown by the shaded region. The points $A$ and $C$ are the points of intersection of $y^{2}=x^{2}$ with $x^{2}+y-2=0$.Solving the two equations, we get $y^{2}+y-2=0$ [putting value of $x^{2}=y^{2}$ ]$\Rightarrow(y+2)(y-1)=0$giving $\mathbf{y}=-2$ and $1$, but $\mathbf{y}=-2$ is discarded as the required area is above the $x$-axis.$\therefore y=1 \Rightarrow x=\pm 1$The points $\mathrm{A}$ and $\mathrm{C}$ are respectively $(-1,1)$ and $(1,1)$ now due to symmetry Area of the bounded region $\mathrm{OABCO}$$=2 \times$ Area $\mathrm{OBCO}=2 \times \int_{0}^{1}\left[\left(2-\mathrm{x}^{2}\right)-\mathrm{x}\right] \mathrm{dx}$[Since $y=2-x^{2}$ is the upper curve and $y=x$ is the lower curve]$=2\left[2 x-\frac{x^{3}}{3}-\frac{x^{2}}{2}\right]_{0}=2\left[2-\frac{1}{3}-\frac{1}{2}\right]=\frac{7}{3}$"
6,"If a circles $x^{2}+y^{2}=a^{2}$ and the rectangular hyperbola $x y=c^{2}$ intersect in four points, $\left(c t_{r}, \frac{c}{t_{r}}\right), r=1,2,3,4$ then $t_{1} t_{2} t_{3} t_{4}$ is equal to@@@", $-1$, 1, $c^{4}$, $-c^{4}$,NULL,b,"Parametric equation of the hyperbola $x y=c^{2}$ is $(c t, c / t)$ and equation of circle is $x^{2}+y^{2}=a^{2} \ldots(i)$ Put $x=c t$ and $y=c / t$ in $(i)$ $(c t)^{2}+\left(\frac{c}{t}\right)^{2}=a^{2}$ $c^{2} t^{4}+c^{2}-a^{2} t^{2}=0$From $(ii)$,$t_{1} t_{2} t_{3} t_{4}=\frac{c^{2}}{c^{2}}=1$"
7,The value of $a$ in order that $f(x)=\sin x-\cos x-a x+b$ decreases for all real values is given by@@@, $a \geq \sqrt{2}$, $a<\sqrt{2}$, $a \geq 1$, $a<1$,NULL,a,We have; $\mathrm{f}(\mathrm{x})=\sin \mathrm{x}-\cos \mathrm{x}-\mathrm{ax}+\mathrm{b}$$\Rightarrow f^{\prime}(x)=\cos x+\sin x-a$$\Rightarrow \mathrm{f}^{\prime}(\mathrm{x})<0 \forall \mathrm{x} \in \mathrm{R}$$\Rightarrow(\cos x+\sin x)$ As the max. value of $(\cos x+\sin x)$ is $\sqrt{2}$The above is possible when $a \geq \sqrt{2}$
8,"The centre of circle touching $Y$-axis at $(0,3)$ and making an intercept of $2$ units on positive $X$-axis is:@@@"," $(10, \sqrt{3})$"," $(\sqrt{3}, 10)$"," $(\sqrt{10}, 3)$"," $(3, \sqrt{10})$",NULL,c,"From figure:![original image](https://cdn.mathpix.com/snip/images/-7ucN_ajUKwjYvtqRFkcmu7Ew4orBroWYWYeEh13gXE.original.fullsize.png)$r^{2}=3^{2}+1^{2}$$\Rightarrow r=\sqrt{10}$$\therefore$ Centre is $(\sqrt{10}, 3)$"
9,The value of the integral $\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x$ is@@@, $\frac{\pi^{2}}{\sqrt{2}}$, $\frac{\pi^{2}}{2 \sqrt{2}}$, $2 \sqrt{2} \pi$, $\frac{\pi}{2 \sqrt{2}}$,NULL,b,$I=\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x=\int_{0}^{\pi} \frac{\pi-x}{1+\cos ^{2}(\pi-x)} d x$$=\int_{0}^{\pi} \frac{\pi-x}{1+\cos ^{2} x}$$=\int_{0}^{\pi} \frac{\pi}{1+\cos ^{2} x} d x-\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x=\pi \int_{0}^{\pi} \frac{d x}{1+\cos ^{2} x}-I$$2 \mathrm{I}=\pi \int_{0}^{\pi} \frac{1}{1+\cos ^{2} \mathrm{x}} \mathrm{d} \mathrm{x}=2 \pi \int_{0}^{\frac{\pi}{2}} \frac{1}{1+\cos ^{2} \mathrm{x}} \mathrm{dx}$$=2 \pi \int_{0}^{\frac{\pi}{2}} \frac{\sec ^{2} x d x}{2+\tan ^{2} x} \quad$ Put $\tan x=t \Rightarrow \sec ^{2} x d x=d t$$21=2 \pi \int_{0}^{\infty} \frac{\mathrm{dt}}{2+\mathrm{t}^{2}}=2 \pi \cdot \frac{1}{\sqrt{2}}\left(\tan ^{-1} \frac{\mathrm{t}}{\sqrt{2}}\right)_{0}^{\infty}$$=\sqrt{2} \pi\left[\tan ^{-1} \infty-\tan ^{-1} 0\right]=\sqrt{2} \pi\left[\frac{\pi}{2}-0\right]=\frac{\pi^{2}}{\sqrt{2}}$$\therefore \mathrm{I}=\frac{\pi^{2}}{2 \sqrt{2}}$
10, $\lim _{n \rightarrow \infty} \frac{1}{n^{3}}\left[1^{2} \sin \frac{1}{n}+2^{2} \sin \frac{2}{n}+3^{2} \sin \frac{3}{n}+\ldots+n^{2} \sin \frac{n}{n}\right]$ equals@@@, $\cos 1+2 \sin 1$, $2 \sin 1-2$, $\cos 1-2 \sin 1-2$, $\cos 1+2 \sin 1-2$,NULL,d,$\lim _{n \rightarrow \infty} \frac{1}{n} \sum \frac{r^{2}}{n^{2}} \sin \frac{r}{n}=\int_{0}^{1} x^{2} \sin x d x$$\left[x^{2}(-\cos x)-2 x(-\sin x)+2 \cos x\right]_{0}^{1}$$=(-\cos 1+2 \sin 1+2 \cos 1)-2$$=\cos 1+2 \sin 1-2$
11," India plays a series of $5$ cricket matches against Australia with $\frac{1}{2}, \frac{1}{3}$ and $\frac{1}{6}$ chances of winning, loosing and drawing each match. Result of one match is independent of the other. The probability of India winning a series with margin of $4$ wins or more is:@@@", $\frac{7}{3\left(2^{6}\right)}$, $\frac{11}{3\left(2^{6}\right)}$, $\frac{1}{12}$, $\frac{10}{3\left(2^{6}\right)}$,NULL,c,Winning the series with margin of $4$ wins or more can be done when series finishes with a scoreline of $4-0$ or $5-0$ in favour of India.$\Rightarrow 5 \times\left(\frac{1}{2^{4}}\right) \times\left(\frac{1}{6}\right)+\left(\frac{1}{2^{5}}\right)=\frac{1}{12}$
12, The lines $\vec{r}=(2 \hat{i}+3 \hat{j}+4 \hat{k})+\lambda(3 \hat{i}+\alpha \hat{j}+4 \hat{k})$ and $\vec{r}=(3 \hat{i}+4 \hat{j}+5 \hat{k})+\mu(\hat{i}+\beta \hat{j}+\hat{k})$ are coplanar then :@@@," $\alpha=2, \beta=2$"," $\alpha \in R, \beta=0$"," $\alpha \in R, \beta=1$"," $\alpha=1, \beta=3$",NULL,c,"Clearly the given lines are neither coincident nor parallel. $\Rightarrow$ Lines are intersecting and$\left(\vec{a}_{2}-\vec{a}_{1}\right) \cdot\left(\vec{b}_{1} \times \vec{b}_{2}\right)=0$$\Rightarrow(\hat{i}+\hat{j}+\hat{k}) \cdot((3 \hat{i}+\alpha \hat{j}+4 \hat{k}) \times(\hat{i}+\beta \hat{j}+\hat{k}))=0 \Rightarrow(\hat{i}+\hat{j}+\hat{k}) \cdot((\alpha-4 \beta) \hat{i}+\hat{j}+(3 \beta-\alpha) \hat{k})=0$$\Rightarrow(\alpha-4 \beta)+1+(3 \beta-\alpha)=0 \Rightarrow \beta=1$$\therefore \alpha \in R, \beta=1$"
13, The value of expression $\sum_{r=1}^{n} \tan ^{-1}\left(\frac{2 r}{r^{4}+r^{2}+2}\right)$ is:@@@, $\frac{\pi}{4}$, $\frac{\pi}{2}$, $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+1}\right)$, $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+2}\right)$,NULL,d,$\sum_{r=1}^{n} \tan ^{-1}\left(\frac{\left(r^{2}+r+1\right)-\left(r^{2}-r+1\right)}{1+\left(r^{2}+r+1\right)\left(r^{2}-r+1\right)}\right)$$\Rightarrow \sum_{r=1}^{n}\left(\tan ^{-1}\left(r^{2}+r+1\right)-\tan ^{-1}\left(r^{2}-r+1\right)\right)$$\Rightarrow \tan ^{-1}\left(n^{2}+n+1\right)-\tan ^{-1}(1)$$\Rightarrow \tan ^{-1}\left(\frac{n^{2}+n+1-1}{1+n^{2}+n+1}\right)=\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+2}\right)$
